"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"스위스","6,788억 8,733만 6,848.3","20","8만 189.7","2","860만 8,259","98","412만 9천","133","6,883억 2,786만 905.4","20","8만 1,209","1","1.09","161","153","2",NA,NA,"2,239억 1,167만 6천","22","1,885억 5,839만 1천","24"
"아르헨티나","6,375억 9,041만 9,269.3","21","1만 4,401.97","49","4,510만 1,781","32","2억 7,804만 ","8","6,216억 4,894만 6,642.5","21","1만 4,041.89","45","2.86","107",NA,NA,NA,NA,NA,NA,NA,NA
"대만","5,727억 6,700만 ","22","2만 4,318","32","2,355만 1천","56","359만 6천","136","5,884억 3,400만 ","22","2만 4,984","29","2.89","106",NA,NA,NA,NA,NA,NA,NA,NA
"스웨덴","5,380억 4,045만 8,217","23","5만 3,442.01","10","1,005만 3,135","89","4,474만 3천","53","5,463억 5,501만 6,306.8","23","5만 5,127.79","8","2.29","126","124","9",NA,NA,"1,531억 880만 9천","30","1,540억 839만 1천","29"
"폴란드","5,245억 956만 5,263.4","24","1만 3,811.66","51","3,802만 8,278","37","3,126만 8천","68","5,044억 7,622만 5,756.1","24","1만 3,216.32","48","4.55","48","58","34",NA,NA,"2,307억 9,275만 2천","21","2,304억 1,021만 1천","20"
"벨기에","4,926억 8,128만 3,049.2","25","4만 3,323.81","17","1,156만 2,784","80","305만 3천","138","4,968억 1,246만 4,764.3","25","4만 3,468.18","17","1.73","145","113","15",NA,NA,"4,300억 8,448만 7천","12","4,063억 6,164만 1천","15"
"태국","4,552억 2,092만 571.1","26","6,593.82","73","6,930만 6,160","20","5,131만 2천","48","4,354억 1,473만 4,323.7","27","6,306.93","64","3.9","69",NA,NA,NA,NA,"2,350억 9,133만 2천","19","2,250억 8,047만 5천","21"
"이란","4,395억 1,351만 1,620.6","27","5,415.21","82","8,282만 766","18","1억 7,451만 5천","16","4,407억 7,701만 7,197.6","26","5,430.78","70","4.3","52",NA,NA,NA,NA,NA,NA,NA,NA
"오스트리아","4,165억 9,566만 6,396.6","28","4만 7,290.91","12","876만 6,201","96","838만 7,900","113","4,174억 1,604만 2,907.4","28","4만 7,784.13","13","3.04","101","110","17",NA,NA,"1,602억 6,860만 3천","28","1,667억 121만 8천","25"
"노르웨이","3,988억 3,195만 6,477.9","29","7만 5,504.57","3","540만 916","118","3,851만 7,800","60","4,154억 9,087만 2,456.2","29","7만 8,314.96","2","1.92","138","137","4",NA,NA,"1,019억 8,131만 6천","33","827억 5,662만 9천","38"
"아랍에미리트","3,825억 7,508만 5,091.9","30","4만 698.85","19","968만 2,088","91","836만 ","114","3,853억 5,248만 4,683.5","30",NA,NA,"0.79","165",NA,NA,NA,NA,NA,NA,NA,NA
"나이지리아","3,757억 7,071만 3,742.8","31","1,968.56","118","2억 96만 2,417","7","9,237만 7천","30","3,642억 7,813만 7,791.9","32","1,908.35","95","0.81","164",NA,NA,NA,NA,NA,NA,NA,NA
"이스라엘","3,508억 5,053만 7,827.3","32","4만 270.25","20","858만 3,916","100","220만 7천","150","3,476억 3,430만 6,266.1","34","4만 1,775.09","19","3.33","90","134","5",NA,NA,"611억 2,644만 8천","43","691억 5,087만 1천","41"
"남아프리카공화국","3,494억 1,934만 3,614.1","33","6,160.73","77","5,806만 5,097","25","1억 2,190만 9천","23","3,389억 3,599만 4,411.4","35","5,975.9","67","1.32","157",NA,NA,NA,NA,"888억 4,543만 9천","35","871억 4,573만 ","35"
"홍콩","3,414억 4,934만 450.6","34","4만 6,193.61","13","749만 776","103","11만 600","181","3,556억 5,839만 4,497.8","33","4만 8,291.11","11","3.79","78",NA,NA,NA,NA,"4,975억 7,932만 7천","10","5,594억 5,737만 9천","8"
"아일랜드","3,337억 3,076만 4,773.2","35","6만 9,330.69","5","484만 7,139","124","702만 8천","119","2,731억 629만 2,895","41","5만 7,355.31","7","7.8","7","125","8",NA,NA,"1,370억 6,593만 3천","31","879억 1,360만 5천","34"
"덴마크","3,248억 7,196만 8,807.5","36","5만 6,307.51","8","577만 5,224","114","429만 2천","131","3,313억 9,153만 4,846.8","36","5만 7,798.65","6","2.24","128","143","3",NA,NA,"1,016억 6,279만 7천","34","923억 6,345만 4천","33"
"싱가포르","3,239억 723만 4,412.3","37","5만 7,714.3","7","586만 8,104","113","7만 1,900","189","3,123억 8,793만 5,404.4","38","5만 4,720","9","3.62","83",NA,NA,NA,NA,"3,732억 3,666만 8천","15","3,276억 8,877만 9천","17"
"말레이시아","3,145억 27만 9,043.8","38","9,944.9","59","3,245만 4,455","45","3,303만 2천","66","3,060억 9,710만 7,245.8","39","9,679.19","53","5.9","29",NA,NA,NA,NA,"2,178억 3,872만 ","24","1,951억 4,925만 5천","23"
"필리핀","3,135억 9,520만 8,737.3","39","2,988.95","107","1억 810만 6,310","13","3천만 ","71","3,770억 8,884만 9,505.2","31","3,594.13","82","6.68","23",NA,NA,NA,NA,"687억 1,271만 1천","39","1,019억 58만 ","32"
"콜롬비아","3,091억 9,138만 2,833.4","40","6,301.59","75","4,984만 9,818","29","1억 1,417만 4,900","24","3,010억 2,480만 2,618.7","40","6,135.15","65","1.77","143",NA,NA,NA,NA,NA,NA,NA,NA
"파키스탄","3,049억 5,181만 8,494.1","41","1,547.85","123","2억 459만 6,442","6","7,961만 ","34","3,215억 9,671만 6,024.9","37","1,632.34","96","5.7","31",NA,NA,NA,NA,NA,NA,NA,NA
"칠레","2,770억 7,594만 4,401.9","42","1만 5,346.45","47","1,833만 6,653","65","7,560만 9,600","36","2,662억 7,361만 4,427.3","42","1만 4,748.14","44","1.49","153","78","28",NA,NA,"692억 2,986만 8천","38","651억 6,200만 ","42"
"핀란드","2,518억 8,488만 7,972.8","43","4만 5,703.33","14","556만 1,389","115","3,384만 4,600","64","2,548억 7,790만 9,968.2","44","4만 6,146.52","14","2.63","114","123","11",NA,NA,"672억 8,528만 6천","41","701억 693만 5천","40"
"방글라데시","2,497억 2,388만 7,765.4","44","1,516.51","124","1억 6,806만 5,920","8","1,476만 3천","92","2,604억 5,455만 50.6","43","1,581.68","98","7.28","12",NA,NA,NA,NA,"313억 6,697만 3천","52","477억 4,285만 1천","45"
"이집트","2,353억 6,912만 9,337.7","45","2,412.73","113","1억 116만 8,745","14","1억 14만 5천","28","2,309억 4,612만 9,337.7","45",NA,NA,"4.18","59",NA,NA,NA,NA,NA,NA,NA,NA
"베트남","2,238억 6,399만 6,354.7","46","2,343.12","114","9,742만 9,061","15","3,309만 6,700","65","2,132억 3,045만 6,527.8","46","2,231.83","91","6.81","20",NA,NA,NA,NA,NA,NA,NA,NA
"포르투갈","2,175억 7,108만 3,046","47","2만 1,136.3","35","1,025만 4,666","87","922만 2,600","109","2,127억 8,303만 2,169.4","47","2만 599.54","33","2.68","112","86","25",NA,NA,"622억 750만 2천","42","779억 2,675만 5천","39"
"체코","2,157억 2,553만 4,372.4","48","2만 368.14","37","1,063만 589","86","788만 7천","116","2,045억 6,736만 8,706.2","49","1만 9,265.54","35","4.29","55","72","30",NA,NA,"1,800억 3,114만 3천","26","1,617억 8,337만 1천","26"
"루마니아","2,118억 328만 1,924.7","49","1만 813.72","54","1,948만 3,360","62","2,383만 9천","81","2,061억 2,993만 2,806.9","48",NA,NA,"6.95","15",NA,NA,NA,NA,"707억 5,668만 9천","37","854억 7,565만 9천","36"
"페루","2,113억 8,927만 2,242.2","50","6,571.93","74","3,293만 3,835","42","1억 2,852만 2천","18","2,028억 6,660만 2,595.4","50",NA,NA,"2.53","116",NA,NA,NA,NA,"448억 9,688만 8천","46",NA,NA
"뉴질랜드","2,058억 5,283만 8,254.7","51","4만 2,940.58","18","479만 2,409","126","2,677만 1천","73","1,990억 763만 2,231.8","52","4만 2,289.7","18","3.03","103","124","10",NA,NA,"380억 6,310만 7천","48","401억 1,464만 ","47"
"그리스","2,002억 8,827만 7,129","52","1만 8,613.42","39","1,112만 4,603","84","1,319만 6천","95","2,003억 9,103만 1,531.6","51","1만 7,956.55","36","1.35","155","86","24",NA,NA,"325억 9,660만 9천","50","566억 6,918만 1천","43"
"이라크","1,977억 1,573만 6,040.6","53",NA,NA,"4,041만 2,299","36","4,350만 5천","56","1,955억 1,573만 6,040.6","53",NA,NA,"-0.78","176",NA,NA,NA,NA,NA,NA,NA,NA
"알제리","1,703억 7,081만 918","54","4,123.39","94","4,267만 9,018","34","2억 3,817만 4천","10","1,678억 7,020만 2,661.9","54",NA,NA,"1.7","147",NA,NA,NA,NA,"351억 2,446만 3천","49","456억 3,577만 8천","46"
"카자흐스탄","1,594억 692만 6,359.1","55","8,837.46","64","1,859만 2,970","63","2억 7,249만 200","9","1,414억 7,994만 3,926.6","56","7,771.7","59","4","67",NA,NA,NA,NA,"482억 9,016만 6천","45","291억 9,892만 5천","54"
"헝가리","1,391억 3,502만 9,758.3","56","1만 4,224.85","50","965만 5,361","92","930만 3천","108","1,334억 4,734만 5,838.3","58","1만 3,726.95","46","3.99","68","62","32",NA,NA,"1,135억 6,049만 1천","32","1,036억 8,782만 2천","31"
"앙골라","1,242억 938만 5,825.2","57","4,170.31","91","3,178만 7,566","46","1억 2,467만 ","21","1,177억 9,329만 1,960.1","59",NA,NA,"0.72","167",NA,NA,NA,NA,NA,NA,NA,NA
"쿠웨이트","1,201억 2,627만 7,612.9","58","2만 9,040.36","27","424만 8,974","128","178만 2천","155","1,391억 748만 4,338.9","57","3만 3,629.04","23","-2.87","178",NA,NA,NA,NA,"549억 2,212만 5천","44","335억 9,722만 7천","50"
"수단","1,174억 8,785만 7,142.9","59","2,898.55","108","4,251만 4,094","35",NA,NA,"1,073억 8,390만 1,428.6","61",NA,NA,"4.28","56",NA,NA,NA,NA,"40억 6,097만 6천","83","91억 6,300만 4천","75"
"우크라이나","1,121억 5,418만 5,121.4","60","2,639.82","109","4,379만 5,220","33","6,035만 5천","42","1,151억 6,757만 7,810.7","60","2,604.25","88","2.5","117",NA,NA,NA,NA,"432억 7,580만 ","47","495억 970만 ","44"
"모로코","1,091억 3,948만 4,007.4","61","3,007.24","106","3,663만 5,156","40","4,465만 5천","55","1,070억 8,348만 6,721","62","2,996.22","86","4.1","63",NA,NA,NA,NA,NA,NA,NA,NA
"에콰도르","1,030억 5,661만 9천","62","6,198.95","76","1,710만 444","70","2,563만 7천","76","1,007억 2,444만 6천","63","6,058.67","66","3","104",NA,NA,NA,NA,"191억 2,246만 ","56","200억 1,001만 ","61"
"슬로바키아","957억 6,903만 1,980.1","63","1만 7,604.95","40","545만 987","117","490만 3,500","128","935억 4,102만 2,350","64","1만 7,170.86","38","3.4","88","70","31",NA,NA,"844억 8,162만 1천","36","833억 709만 1천","37"
"스리랑카","871억 7,468만 2,200.4","64","4,065.22","96","2,101만 8,859","58","656만 1천","121","848억 3,758만 8,818.1","65","4,063.7","79","3.11","96",NA,NA,NA,NA,"113억 6,015만 1천","66","209억 7,979만 5천","58"
"에티오피아","805억 6,149만 6,133.9","65","767.56","139","1억 1,013만 5,635","12","1억 1,043만 ","25","800억 6,377만 300.3","66","762.82","110","10.25","3",NA,NA,NA,NA,NA,NA,NA,NA
"도미니카공화국","759억 3,165만 6,814.7","66","7,052.26","72","1,099만 6,774","85","486만 7천","129","724억 4,296만 199","69","6,728.24","63","4.55","47",NA,NA,NA,NA,NA,NA,NA,NA
"과테말라","756억 2,009만 5,537.5","67","4,470.99","89","1,757만 7,842","67","1,088만 9천","105","742억 108만 7,889.1","67","4,387.09","76","2.76","109",NA,NA,NA,NA,NA,NA,NA,NA
"케냐","749억 3,819만 654.9","68","1,507.81","126","5,221만 4,791","27","5,803만 7천","45","741억 1,786만 9,973","68","1,491.31","100","4.89","42",NA,NA,NA,NA,NA,NA,NA,NA
"오만","726억 4,265만 2,795.8","69","1만 5,668.37","45","500만 1,875","121","3,095만 ","69","701억 3,562만 546.2","70","1만 5,127.62","43","-0.27","173",NA,NA,NA,NA,NA,NA,NA,NA
"룩셈부르크","624억 446만 1,274.7","70","10만 4,103.04","1","59만 6,992","168","25만 9천","174","437억 2,729만 1,083.5","85","7만 4,945.44","3","2.3","125","129","7",NA,NA,"142억 9,100만 6천","62","213억 7,993만 7천","57"
"파나마","618억 3,817만 5,800","71","1만 5,087.68","48","422만 6,197","129","754만 2천","117","553억 6,200만 320.9","73","1만 3,507.58","47","5.36","35",NA,NA,NA,NA,NA,NA,NA,NA
"코스타리카","570억 5,737만 2,468","72","1만 1,630.67","53","499만 9,384","122","511만 ","127","539억 669만 5,943.7","75","1만 988.43","49","3.19","93",NA,NA,NA,NA,"105억 1,950만 5천","67","160억 4,763만 2천","65"
"불가리아","568억 3,151만 8,294.4","73","8,031.6","66","698만 8,739","105","1,110만 ","103","573억 1,783만 3,477.4","72","8,090.52","58","3.56","84",NA,NA,NA,NA,"154억 5,428만 ","59","174억 9,471만 7천","63"
"우루과이","561억 5,697만 2,157.7","74","1만 6,245.6","43","348만 2,156","135","1,762만 2천","89","544억 4,576만 6,603.6","74","1만 5,750.57","40","2.66","113",NA,NA,NA,NA,"78억 8,472만 4천","71","84억 5,787만 7천","77"
"크로아티아","548억 4,918만 228.9","75","1만 3,294.51","52","414만 148","130","565만 9천","125","536억 3,415만 4,941.3","76",NA,NA,"2.78","108",NA,NA,NA,NA,"156억 8,695만 1천","58","242억 8,151만 6천","55"
"벨라루스","544억 4,237만 4,372.5","76","5,726.03","79","943만 3,874","94","2,076만 ","84","523억 8,550만 6,753.6","77","5,532.7","69","2.42","122",NA,NA,NA,NA,"292억 730만 ","54","342억 3,470만 ","49"
"탄자니아","520억 9,032만 325.5","77","936.33","134","6,091만 3,557","23","9,473만 ","29","515억 6,941만 7,122.2","80","899.83","108","7.1","13",NA,NA,NA,NA,"28억 7,840만 9천","85","55억 9,038만 1천","84"
"레바논","518억 4,448만 7,742","78",NA,NA,"606만 5,922","111","104만 5천","165","518억 9,355만 2,949","78",NA,NA,"2.02","132",NA,NA,NA,NA,"28억 4,448만 ","86","195억 8,859만 7천","62"
"리비아","509억 8,436만 2,478.5","79","7,998.03","67","656만 9,864","107","1억 7,595만 4천","15","517억 9,279만 3,256.6","79",NA,NA,"26.68","1",NA,NA,NA,NA,NA,NA,NA,NA
"마카오","503억 6,120만 1,096.4","80",NA,NA,"64만 2,090","165","3,040","223",NA,NA,NA,NA,"9.1","4",NA,NA,NA,NA,"14억 586만 7천","92","94억 4,892만 1천","72"
"슬로베니아","487억 6,965만 5,479.2","81","2만 3,597.29","34","208만 1,900","148","202만 7천","152","475억 2,436만 3,377","82","2만 2,848.52","30","5","39","86","26",NA,NA,"319억 5,099만 8천","51","312억 519만 3천","52"
"우즈베키스탄","487억 1,768만 5,984","82",NA,NA,"3,280만 7,368","43","4,474만 ","54","506억 468만 5,984","81",NA,NA,"5.3","37",NA,NA,NA,NA,NA,NA,NA,NA
"가나","473억 3,001만 6,342.6","83","1,641.49","122","3,009만 6,970","48","2,385만 4천","80","457억 6,361만 7,478","83","1,587.16","97","8.51","6",NA,NA,NA,NA,NA,NA,NA,NA
"리투아니아","471억 6,830만 3,744.1","84","1만 6,680.68","42","286만 4,459","140","652만 8,600","122","456억 1,361만 1,373.8","84","1만 5,781.63","39","3.83","75",NA,NA,NA,NA,"299억 1,902만 ","53","325억 3,725만 2천","51"
"투르크메니스탄","423억 5,542만 8,571.4","85",NA,NA,"594만 2,561","112","4,881만 ","50","407억 8,142만 8,571.4","86",NA,NA,"6.5","25",NA,NA,NA,NA,NA,NA,NA,NA
"세르비아","414억 3,164만 8,801.2","86",NA,NA,"873만 3,407","97","883만 6천","111","385억 4,851만 4,406.7","91",NA,NA,"1.87","140",NA,NA,NA,NA,"170억 3,142만 3천","57","219억 9,369만 6천","56"
"아제르바이잔","407억 4,779만 2,238","87","4,131.62","92","1,001만 4,575","90","866만 ","112","389억 8,834만 5,456.7","89",NA,NA,"0.1","170",NA,NA,NA,NA,"90억 8,997만 1천","68","55억 5,965만 ","85"
"코트디부아르","403억 8,862만 4,117.1","88","1,662.44","120","2,553만 1,083","53","3,224만 6천","67","390억 3,963만 3,764","88",NA,NA,"7.8","8",NA,NA,NA,NA,"124억 3,659만 3천","64","95억 5,542만 ","71"
"튀니지","402억 5,667만 5,208.7","89","3,490.83","101","1,178만 3,168","78","1,636만 1천","91","388억 4,999만 1,107","90","3,368.85","83","1.96","137",NA,NA,NA,NA,"144억 3,302만 2천","61","206억 8,131만 9천","59"
"요르단","400억 6,830만 8,516.3","90","4,129.75","93","1,006만 9,794","88","893만 2천","110","398억 6,309만 7,248.7","87","4,108.6","78","1.97","135",NA,NA,NA,NA,"74억 9,147만 2천","73","204억 647만 6천","60"
"볼리비아","375억 864만 2,112.9","91","3,393.96","102","1,137만 9,861","82","1억 985만 8천","26","363억 9,164만 2,112.9","93","3,292.88","84","4.2","58",NA,NA,NA,NA,"77억 5,234만 7천","72","93억 369만 7천","73"
"콩고민주공화국","372억 4,130만 948.7","92","457.85","148","8,672만 7,573","16","2억 3,448만 6천","11","364억 9,970만 8,632.5","92","448.73","114","3.7","81",NA,NA,NA,NA,NA,NA,NA,NA
"바레인","353억 712만 7,659.6","93","2만 3,655.04","33","163만 7,896","151","7만 7,100","186","318억 8,929만 8,670.2","95","2만 1,365.16","31","3.88","71",NA,NA,NA,NA,"69억 6,465만 4천","74","131억 5,888만 3천","67"
"카메룬","347억 9,859만 6,482.4","94","1,446.7","127","2,531만 2,993","54","4,754만 4천","51","342억 9,867만 7,740.7","94","1,425.92","102","3.18","94",NA,NA,NA,NA,NA,NA,NA,NA
"라트비아","302억 6,445만 4,641.8","95","1만 5,594.29","46","191만 1,108","150","644만 9천","123","300억 4,554만 9,489.4","96","1만 5,410.58","42","4.55","49","74","29",NA,NA,"129억 7,165만 2천","63","158억 5,185만 6천","66"
"파라과이","297억 3,489만 5,248.9","96","4,365.53","90","698만 1,981","106","4,067만 5,200","58","281억 6,488만 3,990.4","97","4,135.03","77","0.77","166",NA,NA,NA,NA,"86억 7,998만 7천","69","118억 7,480만 9천","68"
"에스토니아","259억 2,107만 9,612.3","97","1만 9,704.66","38","130만 3,798","156","452만 3천","130","253억 9,771만 5,459","98","1만 9,393.02","34","4.85","44","79","27",NA,NA,"145억 3,856만 1천","60","166억 2,965만 2천","64"
"우간다","258억 9,105만 8,946.2","98","604.04","146","4,571만 1,874","31","2,415만 5천","79","252억 8,061만 2,722.9","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"잠비아","258억 866만 6,421.6","99","1,509.8","125","1,813만 7,369","66","7,526만 1천","37","250억 305만 4,375.2","100","1,462.67","101","4.08","65",NA,NA,NA,NA,"81억 5,069만 2천","70","87억 3,823만 2천","76"
"엘살바도르","248억 543만 9,600","100","3,889.31","98","644만 5,405","108","210만 4천","151","233억 5,709만 9,600","103","3,662.22","81","2.32","124",NA,NA,NA,NA,NA,NA,NA,NA
"네팔","244억 7,201만 3,233.8","101","835.08","135","2,994만 2,018","49","1,471만 8천","93","247억 3,361만 2,841.2","101",NA,NA,"7.5","10",NA,NA,NA,NA,NA,NA,NA,NA
"아이슬란드","239억 928만 9,978.6","102","7만 56.87","4","34만 566","179","1,030만 ","106","239억 6,493만 8,653.7","102","7만 1,531.79","4","3.64","82","167","1",NA,NA,"48억 6,445만 7천","79","69억 6,979만 ","80"
"온두라스","229억 7,853만 2,896.8","103","2,480.13","111","956만 8,688","93","1,124만 9천","101","213억 3,180만 5,863.6","105","2,302.39","90","4.79","45",NA,NA,NA,NA,"45억 6,420만 3천","81","96억 8,440만 ","70"
"캄보디아","221억 5,820만 9,502.6","104","1,384.42","128","1,648만 2,646","72","1,810만 4천","88","208억 20만 9,502.6","108",NA,NA,"6.81","19",NA,NA,NA,NA,"120억 8,945만 3천","65",NA,NA
"트리니다드토바고","221억 477만 5,828.5","105","1만 6,145.18","44","137만 5,443","153","51만 3천","170","213억 6,554만 4,361.7","104","1만 5,605.25","41","-2.34","177",NA,NA,NA,NA,NA,NA,NA,NA
"키프로스","216억 5,179만 1,751.2","106","2만 5,233.57","31","119만 8,427","158","92만 5천","166","210억 9,079만 6,303.1","106","1만 7,880.36","37","3.88","72",NA,NA,NA,NA,"33억 4,381만 4천","84","92억 9,079만 3천","74"
"파푸아뉴기니","210억 8,875만 8,484.7","107","2,555.85","110","858만 6,525","99","4,628만 4천","52","202억 8,865만 5,743.7","109","2,458.88","89","2.2","130",NA,NA,NA,NA,NA,NA,NA,NA
"아프가니스탄","208억 1,530만 220","108",NA,NA,"3,720만 9,007","39","6,528만 6천","39","210억 1,714만 8,561.8","107",NA,NA,"2.6","115",NA,NA,NA,NA,NA,NA,NA,NA
"보스니아-헤르체고비나","181억 6,857만 9,578.2","109","5,180.64","84","350만 1,774","134","512만 1천","126","181억 7,048만 1,157.1","110",NA,NA,"3.03","102",NA,NA,NA,NA,"63억 9,988만 9천","75","105억 84만 1천","69"
"짐바브웨","178억 4,582만 1,400","110","1,079.61","132","1,729만 7,495","68","3,907만 6천","59","157억 9,365만 2,039.1","114","955.46","107","3.45","87",NA,NA,NA,NA,NA,NA,NA,NA
"보츠와나","174억 653만 780.7","111","7,595.6","69","237만 4,636","143","5,817만 3천","44","170억 4,053만 780.7","111","7,435.89","60","2.36","123",NA,NA,NA,NA,NA,NA,NA,NA
"라오스","168억 5,307만 9,615.4","112","2,457.38","112","706만 4,242","104","2,368만 ","82","159억 6,361만 6,763","112",NA,NA,"6.89","17",NA,NA,NA,NA,NA,NA,NA,NA
"세네갈","163억 7,474만 3,753.5","113","1,033.07","133","1,674만 3,859","71","1,967만 1천","86","158억 512만 8,436.7","113","997.13","106","6.79","21",NA,NA,NA,NA,"25억 4,403만 7천","88","61억 283만 3천","83"
"말리","152억 8,816만 3,367.3","114","824.52","137","1,968만 9,140","61","1억 2,401만 9천","22","149억 1,620만 7,899.5","115",NA,NA,"5.3","36",NA,NA,NA,NA,NA,NA,NA,NA
"그루지야","151억 5,928만 1,211.4","115","4,078.25","95","390만 4,204","132","697만 ","120","143억 4,620만 2,151.8","116",NA,NA,"4.99","40",NA,NA,NA,NA,"27억 2,797만 1천","87","79억 7,943만 5천","78"
